date,Open,High,Low,Close,Volume,Adj Close,VIX,Returns,SMA_50,SMA_200,Volatility,RSI,MACD,BBP,ATR
2010-10-18,117.74,118.67,117.31,118.28,141416390.0,118.28,19.09,0.004927782497875954,111.9114,112.28389999999999,0.007710954197096381,73.65661725924936,0.12096934621404909,0.915990031930041,1.434285714285711
2010-10-19,117.19,117.85,116.02,116.73,280331815.0,116.73,20.63,-0.013104497801826098,111.98620000000001,112.30089999999998,0.00836889652041764,62.58351795526808,0.003926381080460617,0.6647470238290045,1.5321428571428544
2010-10-20,116.94,118.44,116.87,117.87,199776327.0,117.87,19.79,0.009766126959650512,112.096,112.3221,0.008445510295536907,69.1206534072708,-0.011067514611023288,0.8069450548994734,1.4971428571428536
2010-10-21,118.4,119.09,117.21,118.13,221423812.0,118.13,19.27,0.0022058199711545434,112.2726,112.3442,0.008106251514091146,68.41004083918345,-0.017447344861814873,0.8301825980425472,1.5464285714285688
2010-10-22,118.31,118.53,118.0,118.35,108136870.0,118.35,18.78,0.0018623550325911342,112.46699999999998,112.365,0.0068900998833949095,75.78475217378184,-0.020606545057177517,0.8281310026623939,1.4649999999999983
2010-10-25,119.14,119.76,118.61,118.7,150911529.0,118.7,19.85,0.0029573299535277098,112.67479999999999,112.38565,0.006731582811816773,69.05443987569885,-0.013238243452452059,0.8472818248630044,1.3821428571428567
2010-10-26,118.1,118.84,117.87,118.72,158887883.0,118.72,20.22,0.0001684919966300491,112.884,112.40559999999999,0.0067317712512413265,69.24177257598734,-0.020687422641870512,0.8165274245511815,1.3964285714285711
2010-10-27,117.89,118.51,117.26,118.38,189872039.0,118.38,20.71,-0.0028638814016173075,113.0598,112.4292,0.006766998965425034,67.31571496186362,-0.05996062160196525,0.7392581280857655,1.4049999999999991
2010-10-28,119.06,119.11,117.83,118.4,168414804.0,118.4,20.88,0.00016894745734075123,113.23199999999999,112.44810000000001,0.006688869345179471,64.17682789866522,-0.09401071227547853,0.7254712041714976,1.4071428571428564
2010-10-29,118.28,118.72,118.07,118.49,144175222.0,118.49,21.2,0.0007601351351349539,113.4442,112.4659,0.006669600863819023,64.06727691599092,-0.1183205919482262,0.7243211238954798,1.402142857142857
2010-11-01,119.07,119.75,117.85,118.53,173851149.0,118.53,21.83,0.0003375812304835524,113.6642,112.49034999999999,0.006322323508047973,62.2186481172651,-0.1381723386303806,0.7423122149584015,1.4164285714285723
